1,"Виконавчий орган Київської міської ради
(Київської міської державної адміністрації)Виконавчий орган Київської міської ради
(Київської міської державної адміністрації)",ДЕПАРТАМЕНТ СОЦІАЛЬНОЇ ПОЛІТИКИ,так,так,так,так,так,так,так,ні,ні,ні,так,ні,так,(044) 404-21-97,(044) 15-51,400,ні,https://dsp.kyivcity.gov.ua/,,Київ,Проспект,Любомира Гузара,7,,50.434575600000,30.4080348
2,Комунальна установа,"КИЇВСЬКИЙ МІСЬКИЙ ЦЕНТР ПО НАРАХУВАННЮ
ТА ЗДІЙСНЕННЮ СОЦІАЛЬНИХ ВИПЛАТКИЇВСЬКИЙ МІСЬКИЙ ЦЕНТР ПО НАРАХУВАННЮ
ТА ЗДІЙСНЕННЮ СОЦІАЛЬНИХ ВИПЛАТ",так,так,так,так,так,так,так,ні,ні,ні,так,ні,так,(044) 408-54-88,,400,ні,https://dsp.kyivcity.gov.ua/content/kyivskyy-miskyy-centr-po-narahuvannyu-ta-zdiysnennyu-soc-vyplat.html,,Київ,Проспект,Любомира Гузара,7,,50.434575600000,30.4080348
3,Комунальна установа,"КИЇВСЬКИЙ МІСЬКИЙ ТЕРИТОРІАЛЬНИЙ ЦЕНТР СОЦІАЛЬНОГО ОБСЛУГОВУВАННЯ
(НАДАННЯ СОЦІАЛЬНИХ ПОСЛУГ) У М. КИЄВІКИЇВСЬКИЙ МІСЬКИЙ ТЕРИТОРІАЛЬНИЙ ЦЕНТР СОЦІАЛЬНОГО ОБСЛУГОВУВАННЯ
(НАДАННЯ СОЦІАЛЬНИХ ПОСЛУГ) У М. КИЄВІ",ні,так,ні,ні,ні,ні,ні,ні,ні,ні,ні,ні,так,(044) 450-91-66,,600,ні,https://dsp.kyivcity.gov.ua/content/kyivskyy-miskyy-terytorialnyy-centr-socialnogo-obslugovuvannya-ta-rayonni-terytorialni-centry-socialnogo-obslugovuvannya-nadannya-socialnyh-poslug-u-m-kyievi.html,,Київ,Вулиця,М. Котельникова,32/11,,50.452172400000,30.3734857
4,Комунальна установа,"КИЇВСЬКИЙ МІСЬКИЙ ЦЕНТР ГЕНДЕРНОЇ РІВНОСТІ, ЗАПОБІГАННЯ ТА ПРОТИДІЇ НАСИЛЬСТВУ",ні,так,ні,ні,ні,ні,ні,ні,ні,так,так,ні,ні,,,,,,,Київ,Вулиця,Іллєнка,20,,50.467520100000,30.4727836
5,Комунальна установа,"КИЇВСЬКИЙ ПАНСІОНАТ
ВЕТЕРАНІВ ПРАЦІКИЇВСЬКИЙ ПАНСІОНАТ
ВЕТЕРАНІВ ПРАЦІ",ні,так,ні,ні,,,,,,,,,,,,,,,,Київ,Вулиця,Кубанської України,2,,50.476561000000,30.6399776
6,Комунальна установа,НОВО-БІЛИЦЬКИЙ ПСИХОНЕВРОЛОГІЧНИЙ ІНТЕРНАТ ДЛЯ ЧОЛОВІКІВ,так,так,ні,ні,так,так,ні,ні,ні,ні,ні,ні,так,(044) 424-13-27,,200,ні,https://dsp.kyivcity.gov.ua/content/novobilyckyy-pni-dlya-cholovikiv.html,,Київ,Вулиця,Підлісна,8,,50.475249400000,30.3393153
7,Комунальна установа,"ПУЩА-ВОДИЦЬКИЙ
ПСИХОНЕВРОЛОГІЧНИЙ ІНТЕРНАТПУЩА-ВОДИЦЬКИЙ
ПСИХОНЕВРОЛОГІЧНИЙ ІНТЕРНАТ",так,так,ні,ні,ні,так,ні,ні,ні,ні,ні,ні,так,(044) 401-97-03,,50,ні,https://dsp.kyivcity.gov.ua/content/pushchavodyckyy-pni.html,,Київ,Вулиця,Міська,2,,50.525980800000,30.3669307
8,Комунальна установа,"СВЯТОШИНСЬКИЙ
ПСИХОНЕВРОЛОГІЧНИЙ ІНТЕРНАТСВЯТОШИНСЬКИЙ
ПСИХОНЕВРОЛОГІЧНИЙ ІНТЕРНАТ",ні,так,ні,ні,ні,так,ні,ні,ні,ні,ні,ні,так,(044) 450 92 77,,1200,ні,https://dsp.kyivcity.gov.ua/content/svyatoshynskyy-psyhonevrologichnyy-internat.html,,Київ,Вулиця,Івана Крамського,16,,50.451089700000,30.3724712
9,Комунальна установа,"СВЯТОШИНСЬКИЙ
ДИТЯЧИЙ БУДИНОК ІНТЕРНАТСВЯТОШИНСЬКИЙ
ДИТЯЧИЙ БУДИНОК ІНТЕРНАТ",ні,так,ні,ні,,,,,,,,,,,,,,,,Київ,Вулиця,Івана Крамського,16.,,50.451089700000,30.3724712
10,Комунальна установа,"КИЇВСЬКИЙ ПСИХОНЕВРОЛОГІЧНИЙ
ІНТЕРНАТКИЇВСЬКИЙ ПСИХОНЕВРОЛОГІЧНИЙ
ІНТЕРНАТ",ні,так,ні,ні,,,,,,,,,,,,,,,,Київ,Вулиця,Юнкерова,37,,50.539192300000,30.3522556
11,Комунальна установа,"КИЇВСЬКИЙ
ГЕРІАТРИЧНИЙ ПАНСІОНАТКИЇВСЬКИЙ
ГЕРІАТРИЧНИЙ ПАНСІОНАТ",так,так,ні,ні,так,так,так,ні,ні,ні,ні,ні,так,(044) 228-30-72,,120,ні,https://dsp.kyivcity.gov.ua/content/kyivskyy-geriatrychnyy-pansionat.html,,Київ,Вулиця,Бударіна,11,,50.441258000000,30.279867
